Replay Review #,Headset Umpire 1,Headset Umpire 2,Time on 2 Minute Clock,Review 2 Min+,Time from Call to Challenge,Time from Challenge to Ruling,Time on Headset,Length of Initial Announcement,Length of Post Review Announcement,Time from Call to Next Pitch,Time from FTC EoP to Challenge,Time left on FTC Clock,Multiple Review,Multiple Trips to Headset
66,"Tichenor, Todd","Randazzo, Tony",2:12,Yes,0:17,3:12,2:44,0:02,0:03,3:59,0:09,0:06,No,No
67,"Márquez, Alfonso","Eddings, Doug",0:11,No,0:13,1:18,0:40,0:02,0:05,N/A,0:07,0:08,No,No
68,"Iassogna, Dan","Barry, Scott",0:41,No,0:18,1:37,1:04,0:08,0:06,2:16,0:15,0:00,No,No
69,"Porter, Alan","Barber, Sean",1:18,No,0:15,4:09,3:33,0:02,0:11,N/A,0:08,0:07,No,Yes
70,"Porter, Alan","Wolf, Jim",1:12,No,0:15,2:15,1:39,0:04,0:10,3:03,0:05,0:10,No,No
71,"Hoye, James","Reyburn, D.J.",0:01,No,0:16,0:48,0:20,0:02,0:06,1:36,0:10,0:05,No,No
72,"Márquez, Alfonso","Barrett, Lance",0:16,No,0:13,1:06,0:37,0:02,0:05,N/A,0:06,0:09,No,No
73,"Kulpa, Ron","Blaser, Cory",0:25,No,0:15,1:35,0:54,0:04,0:05,2:14,0:10,0:05,No,No
74,"Márquez, Alfonso","Barrett, Lance",0:01,No,0:14,0:40,0:11,0:02,0:04,N/A,0:06,0:09,No,No
75,"Hudson, Marvin","Wendelstedt, Hunter",0:31,No,0:14,1:32,0:50,0:03,0:06,2:41,0:11,0:04,No,No
76,"Porter, Alan","Barber, Sean",1:08,No,0:12,2:14,1:40,0:03,0:08,2:48,0:08,0:07,No,No
77,"Guccione, Chris","Merzel, Dan",0:01,No,0:17,1:13,0:37,0:03,0:08,2:08,0:10,0:05,No,No
78,"Guccione, Chris","Merzel, Dan",0:59,No,0:16,2:10,1:40,0:03,0:05,3:23,0:10,0:05,No,No
79,"Diaz, Laz","Wills, Ryan",0:24,No,0:17,1:38,1:11,0:02,0:06,3:04,0:02,0:13,No,No
80,"Wegner, Mark","Dreckman, Bruce",0:03,No,0:12,1:12,0:32,0:03,0:06,N/A,0:08,0:07,No,No
81,"Wegner, Mark","Dreckman, Bruce",0:42,No,0:14,1:48,1:20,0:02,0:06,N/A,0:09,0:06,No,No
82,"Hudson, Marvin","Wendelstedt, Hunter",0:04,No,0:23,1:05,0:26,0:05,0:04,1:58,0:02,0:13,No,No
83,"Emmel, Paul","Fairchild, Chad",0:02,No,0:12,0:08,0:05,0:08,0:11,3:04,0:09,0:06,Yes,No
84,"Emmel, Paul","Fairchild, Chad",0:26,No,N/A,1:42,1:05,0:08,0:11,N/A,N/A,N/A,Yes,No
85,"Emmel, Paul","Lentz, Nic",0:56,No,0:17,1:45,1:12,0:04,0:06,N/A,0:12,0:03,No,No
86,"Layne, Jerry","Ballou, Brock",0:04,No,0:32,1:25,1:00,0:04,0:04,3:03,0:13,0:02,Yes,No
87,"Layne, Jerry","Ballou, Brock",0:02,No,N/A,0:43,0:30,0:04,0:04,N/A,N/A,N/A,Yes,No
88,"Hudson, Marvin","Blakney, Ryan",0:15,No,0:31,1:50,1:03,0:03,0:09,3:12,0:13,0:02,Yes,No
89,"Hudson, Marvin","Blakney, Ryan",0:03,No,N/A,0:22,0:13,0:03,0:09,N/A,N/A,N/A,Yes,No
90,"Diaz, Laz","Estabrook, Mike",0:27,No,0:19,1:23,0:54,0:03,0:04,N/A,0:13,0:02,No,No
91,"Kulpa, Ron","Torres, Carlos",0:52,No,0:15,1:39,1:11,0:02,0:05,2:23,0:10,0:05,No,No
92,"Barksdale, Lance","Little, Will",0:01,No,3:13,1:17,0:54,0:04,0:07,5:12,0:06,0:09,No,No
93,"Porter, Alan","Muchlinski, Mike",0:41,No,0:07,1:53,1:13,0:03,0:06,N/A,0:01,0:14,No,No
94,"Márquez, Alfonso","Eddings, Doug",0:55,No,0:11,1:41,1:17,0:02,0:05,2:22,0:03,0:12,No,No
95,"Johnson, Adrian","Wolcott, Quinn",0:15,No,0:16,1:10,0:32,0:02,0:05,N/A,0:13,0:02,No,No
96,"Tichenor, Todd","Knight, Brian",0:07,No,0:09,1:15,0:39,0:04,0:05,1:56,0:02,0:13,No,No
97,"Vanover, Larry","Guccione, Chris",0:10,No,3:41,4:00,1:46,0:03,0:16,10:32,N/A,N/A,No,No
98,"Barksdale, Lance","Little, Will",1:07,No,0:20,2:04,1:31,0:03,0:07,2:58,0:13,0:02,No,No
99,"Hamari, Adam","Mahrley, Nick",0:03,No,0:09,0:56,0:25,0:02,0:07,1:37,0:04,0:11,No,No
100,"Johnson, Adrian","Valentine, Junior",0:37,No,0:10,1:41,1:09,0:02,0:05,N/A,0:07,0:08,No,No
101,"Iassogna, Dan","Barry, Scott",0:08,No,0:33,1:03,0:34,0:03,0:07,2:04,0:10,0:05,No,No
102,"Iassogna, Dan","Barry, Scott",1:01,No,0:15,1:52,1:24,0:03,0:05,2:48,0:11,0:04,No,No
103,"Emmel, Paul","Lentz, Nic",0:08,No,0:10,0:49,0:23,0:02,0:03,1:23,0:02,0:13,No,No
104,"Diaz, Laz","Bacchus, Erich",0:23,No,0:16,1:23,0:46,0:03,0:05,2:03,0:13,0:02,No,No
105,"Tichenor, Todd","Knight, Brian",0:45,No,0:08,1:24,0:58,0:02,0:04,1:57,0:04,0:11,No,No
106,"Wegner, Mark","Moore, Malachi",0:42,No,0:15,1:31,1:00,0:02,0:06,2:17,0:12,0:03,No,No
107,"Hoye, James","Tomlinson, Nate",0:43,No,0:13,1:12,0:51,0:03,0:06,1:54,0:08,0:07,No,No
108,"Wegner, Mark","Dreckman, Bruce",0:17,No,0:09,2:09,1:35,0:03,0:09,2:52,0:00,0:15,No,No
109,"Barksdale, Lance","Little, Will",0:39,No,0:16,1:53,1:09,0:04,0:06,2:38,0:01,0:14,No,No
110,"Hudson, Marvin","Tumpane, John",0:37,No,0:20,1:47,1:06,0:04,0:06,2:40,0:15,0:00,No,No
111,"Johnson, Adrian","Gonzalez, Manny",0:42,No,0:22,2:04,1:33,0:03,0:07,4:41,0:14,0:01,No,No
112,"Diaz, Laz","Estabrook, Mike",0:06,No,0:43,0:48,0:26,0:05,N/A,2:06,0:08,0:07,No,No
113,"Kulpa, Ron","Blaser, Cory",0:22,No,0:10,1:15,0:43,0:03,0:05,2:07,0:02,0:13,No,No
114,"Tichenor, Todd","Knight, Brian",0:22,No,0:19,1:14,0:39,0:02,0:05,N/A,0:14,0:01,No,No
115,"Wegner, Mark","Scheurwater, Stu",0:18,No,0:14,1:35,0:36,0:04,0:05,3:00,0:08,0:07,No,No
116,"Layne, Jerry","Hamari, Adam",0:05,No,0:10,1:41,0:39,N/A,N/A,N/A,0:06,0:09,No,No
117,"Wegner, Mark","Dreckman, Bruce",0:01,No,0:13,0:02,0:02,0:05,0:11,4:57,0:09,0:06,Yes,No
118,"Wegner, Mark","Dreckman, Bruce",1:33,No,N/A,3:23,2:33,0:05,0:11,N/A,N/A,N/A,Yes,No
119,"Emmel, Paul","Rehak, Jeremie",0:02,No,0:13,0:52,0:18,0:07,0:03,1:23,0:07,0:08,No,No
120,"Emmel, Paul","Fairchild, Chad",1:33,No,0:11,2:29,1:58,0:02,0:05,3:03,0:07,0:08,No,No
121,"Hudson, Marvin","Blakney, Ryan",0:40,No,0:17,1:39,1:00,0:02,0:06,2:22,0:10,0:05,No,No
122,"Kulpa, Ron","Blaser, Cory",0:23,No,0:21,1:21,0:48,0:04,0:06,2:22,0:08,0:07,No,No
123,"Diaz, Laz","Wills, Ryan",0:48,No,0:19,1:41,1:06,0:04,0:06,2:31,0:13,0:02,No,No
124,"Hudson, Marvin","Tumpane, John",1:00,No,0:35,1:52,1:23,0:04,0:07,3:44,0:13,0:02,Yes,No
125,"Hudson, Marvin","Tumpane, John",0:25,No,N/A,0:46,0:34,0:04,0:07,N/A,N/A,N/A,Yes,No
126,"Johnson, Adrian","Valentine, Junior",0:40,No,0:13,1:51,1:07,0:05,0:11,2:44,0:06,0:09,No,No
127,"Porter, Alan","Wolf, Jim",1:26,No,0:16,2:33,1:48,0:03,0:06,3:23,0:12,0:03,No,No
128,"Hoye, James","Reyburn, D.J.",0:27,No,0:21,1:36,0:59,0:02,0:06,2:26,0:10,0:05,No,No
129,"Márquez, Alfonso","Barrett, Lance",0:04,No,0:12,0:49,0:22,0:02,0:04,1:33,0:08,0:07,No,No
130,"Johnson, Adrian","Gonzalez, Manny",0:01,No,0:11,0:56,0:30,0:03,0:04,1:33,0:06,0:09,No,No
131,"Hudson, Marvin","Blakney, Ryan",1:31,No,0:27,3:50,2:53,0:10,0:07,4:49,0:14,0:01,No,No
132,"Barksdale, Lance","Little, Will",0:11,No,0:18,1:18,0:39,0:03,0:06,2:17,0:14,0:01,No,No
133,"Barksdale, Lance","Little, Will",0:01,No,0:18,0:51,0:08,0:03,0:06,N/A,0:12,0:03,No,No
134,"Guccione, Chris","Moscoso, Edwin",0:47,No,0:11,1:53,1:15,0:05,0:06,N/A,0:08,0:07,No,No
135,"Diaz, Laz","Estabrook, Mike",0:45,No,0:24,1:14,0:51,0:03,0:05,2:18,0:12,0:03,No,No
136,"Bellino, Dan","Ripperger, Mark",0:57,No,0:19,2:14,1:37,0:05,0:10,3:12,0:03,0:12,No,No
137,"Miller, Bill","Drake, Rob",0:32,No,0:20,1:25,1:01,0:02,0:07,2:17,0:14,0:01,No,No
138,"Carapazza, Vic","Ballou, Brock",0:24,No,0:18,1:30,0:51,0:03,0:06,2:12,0:13,0:02,No,No
139,"Iassogna, Dan","Morales, Gabe",0:09,No,0:15,1:01,0:26,0:03,0:05,1:34,0:09,0:06,No,No
140,"Nelson, Jeff","May, Ben",1:13,No,0:13,2:04,1:36,0:03,0:04,N/A,0:10,0:05,No,No
141,"Márquez, Alfonso","Barrett, Lance",0:05,No,0:49,1:17,0:35,1:02,0:06,2:22,0:02,0:13,No,No
142,"Barksdale, Lance","Merzel, Dan",0:21,No,0:24,1:28,0:49,0:04,0:06,2:07,0:14,0:01,No,No
143,"O'Nora, Brian","Hoberg, Pat",0:03,No,0:11,1:09,0:32,0:03,0:06,N/A,0:05,0:10,No,No
144,"Johnson, Adrian","Gonzalez, Manny",1:48,No,0:47,2:43,2:20,0:02,0:05,3:42,0:14,0:01,No,No
145,"Carapazza, Vic","Hamari, Adam",0:58,No,0:18,2:04,1:26,0:04,0:07,2:54,0:14,0:01,No,No
146,"Carlson, Mark","Gibson, Tripp",1:23,No,0:10,2:09,1:41,0:03,0:06,N/A,0:04,0:11,No,No
147,"O'Nora, Brian","MacKay, Alex",0:05,No,0:07,1:03,0:26,0:02,0:06,1:34,0:02,0:13,No,No
148,"Iassogna, Dan","Vondrak, Clint",0:21,No,0:14,1:48,0:48,0:04,0:04,2:40,0:11,0:04,No,No
149,"Johnson, Adrian","Gonzalez, Manny",0:02,No,1:15,1:07,0:36,0:03,N/A,3:14,N/A,N/A,No,No
150,"Iassogna, Dan","Beck, Adam",0:09,No,0:14,1:01,0:33,0:03,0:06,1:53,0:07,0:08,No,No
151,"Porter, Alan","Wolf, Jim",0:39,No,0:19,2:06,1:22,0:03,0:08,2:56,0:14,0:01,No,No
152,"Tichenor, Todd","Knight, Brian",1:11,No,0:19,1:51,1:28,0:03,0:04,3:03,0:15,0:00,No,No
153,"Johnson, Adrian","Gonzalez, Manny",0:16,No,0:16,0:58,0:29,0:02,0:04,1:48,0:12,0:03,No,No
154,"Fletcher, Andy","Wills, Ryan",0:17,No,0:14,1:10,0:36,0:03,0:06,1:45,0:09,0:06,No,No
155,"Wegner, Mark","Moore, Malachi",0:18,No,0:16,1:09,0:42,0:03,0:07,N/A,0:13,0:02,No,No
156,"O'Nora, Brian","Hoberg, Pat",1:14,No,0:14,2:06,1:38,0:03,0:06,2:44,0:11,0:04,No,No
157,"Kulpa, Ron","Blaser, Cory",0:54,No,0:17,1:45,1:15,0:02,0:04,2:32,0:14,0:01,No,No
158,"Tichenor, Todd","Knight, Brian",0:01,No,0:15,0:08,0:04,0:02,0:03,2:31,0:09,0:06,Yes,No
159,"Tichenor, Todd","Knight, Brian",0:12,No,N/A,1:39,0:48,0:02,0:03,N/A,N/A,N/A,Yes,No
160,"Fletcher, Andy","Estabrook, Mike",0:21,No,0:19,1:33,0:46,0:03,0:05,3:03,0:15,0:00,No,No
161,"Fletcher, Andy","Estabrook, Mike",0:07,No,0:09,0:59,0:27,0:03,0:06,N/A,0:06,0:09,No,No
162,"Porter, Alan","Wolf, Jim",1:26,No,0:12,2:26,1:50,0:03,0:07,3:12,0:05,0:10,No,No
163,"Carapazza, Vic","Hamari, Adam",0:03,No,0:10,0:53,0:22,0:04,0:06,1:29,0:05,0:10,No,No
164,"Nelson, Jeff","May, Ben",0:11,No,0:11,1:15,0:37,0:03,0:06,1:54,0:03,0:12,No,No
165,"Tichenor, Todd","Randazzo, Tony",0:19,No,0:12,1:04,0:39,0:02,0:03,1:44,0:06,0:09,No,No
166,"Tichenor, Todd","Randazzo, Tony",0:59,No,0:14,1:43,1:19,0:03,0:03,2:24,0:09,0:06,No,No
167,"Nelson, Jeff","Segal, Chris",1:15,No,0:13,2:08,1:34,0:02,0:06,2:55,0:05,0:10,No,No
168,"Wegner, Mark","Scheurwater, Stu",0:01,No,0:07,0:45,0:17,0:03,0:03,1:28,0:02,0:13,No,No
169,"Johnson, Adrian","Gonzalez, Manny",0:34,No,0:09,1:23,0:51,0:03,0:04,N/A,0:04,0:11,No,No
170,"Tichenor, Todd","Knight, Brian",0:35,No,0:17,1:16,0:51,0:03,0:03,2:00,0:10,0:05,No,No
171,"Miller, Bill","Drake, Rob",1:15,No,0:13,2:05,1:32,0:02,0:06,2:42,0:07,0:08,No,No
172,"Miller, Bill","Whitson, Chad",1:04,No,0:14,2:02,1:35,0:03,0:06,2:48,0:07,0:08,No,No
173,"Tichenor, Todd","Knight, Brian",0:17,No,0:16,0:45,0:29,0:03,0:03,N/A,0:10,0:05,No,No
174,"Barksdale, Lance","Little, Will",0:01,No,0:10,0:55,0:20,0:02,0:07,1:31,0:04,0:11,No,No
175,"Bellino, Dan","Cuzzi, Phil",0:01,No,0:24,0:54,0:16,0:06,0:08,1:40,0:06,0:09,No,No
176,"Porter, Alan","Muchlinski, Mike",0:11,No,0:17,1:00,0:30,0:03,0:07,1:49,0:12,0:03,No,No
177,"Bellino, Dan","Livensparger, Shane",0:14,No,0:11,1:18,0:40,0:06,0:06,1:51,0:05,0:10,No,No
178,"Porter, Alan","Muchlinski, Mike",0:02,No,0:04,1:01,0:22,0:03,0:07,1:34,0:00,0:15,No,No
179,"Bellino, Dan","Livensparger, Shane",0:03,No,0:18,1:53,1:01,0:04,0:08,2:53,0:01,0:14,No,No
180,"Tichenor, Todd","Randazzo, Tony",1:10,No,0:14,1:55,1:28,0:02,0:03,N/A,0:07,0:08,No,No
181,"Nelson, Jeff","May, Ben",0:25,No,0:16,1:32,0:57,0:03,0:04,2:16,0:09,0:06,No,No
182,"Tichenor, Todd","Knight, Brian",0:30,No,0:04,1:12,0:43,0:03,0:02,1:40,0:03,0:12,No,No
183,"Blaser, Cory","Visconti, Jansen",0:20,No,0:17,1:09,0:41,0:02,0:06,1:56,0:13,0:02,No,No
184,"Barksdale, Lance","Merzel, Dan",1:00,No,0:13,2:00,1:26,0:03,0:06,2:37,0:07,0:08,No,No
185,"Carlson, Mark","Miller, Brennan",0:45,No,0:12,1:34,1:06,0:03,0:05,2:45,0:06,0:09,No,No
186,"Porter, Alan","Wolf, Jim",1:01,No,0:21,2:02,1:25,0:03,0:06,2:56,0:15,0:00,No,No
187,"Nelson, Jeff","Segal, Chris",0:09,No,0:16,1:20,0:37,0:03,0:05,2:06,0:06,0:09,No,No
188,"Layne, Jerry","Mahrley, Nick",0:38,No,0:15,1:32,1:00,0:03,0:05,2:20,0:11,0:04,No,No
189,"Barksdale, Lance","Merzel, Dan",1:18,No,0:16,2:17,1:44,0:02,0:05,2:56,0:10,0:05,No,No
190,"Eddings, Doug","Barrett, Lance",0:48,No,0:15,1:44,1:09,0:03,0:08,2:27,0:10,0:05,No,No
191,"Hudson, Marvin","Tumpane, John",1:06,No,0:10,2:02,1:25,0:03,0:07,2:48,0:06,0:09,No,No
192,"Wolf, Jim","Tomlinson, Nate",0:11,No,0:19,1:03,0:28,0:02,0:04,1:47,0:12,0:03,No,No
193,"Wolf, Jim","Muchlinski, Mike",1:03,No,0:15,1:50,1:19,0:03,0:06,2:40,0:09,0:06,No,No
194,"Wolf, Jim","Muchlinski, Mike",0:16,No,0:20,1:02,0:32,0:03,0:04,1:52,0:00,0:15,No,No
195,"Eddings, Doug","Moscoso, Edwin",0:19,No,0:18,1:21,0:50,0:03,0:06,2:04,0:11,0:04,No,No
196,"Guccione, Chris","Rackley, David",0:11,No,0:14,1:02,0:36,0:03,0:05,1:44,0:10,0:05,No,No
197,"Miller, Bill","Whitson, Chad",1:25,No,0:12,2:15,1:47,0:03,0:07,2:55,0:06,0:09,No,No
198,"Carlson, Mark","Baker, Jordan",1:00,No,0:09,1:55,1:32,0:04,0:05,2:28,0:04,0:11,No,No
199,"Diaz, Laz","Fletcher, Andy",0:03,No,0:16,1:02,0:24,0:04,0:03,1:45,0:05,0:10,No,No
200,"Diaz, Laz","Wills, Ryan",0:52,No,0:12,2:05,1:19,0:04,0:04,2:36,0:08,0:07,No,No
201,"Nelson, Jeff","Bucknor, CB",0:01,No,1:19,0:49,0:16,0:02,0:07,2:53,0:12,0:03,No,No
202,"Diaz, Laz","Wills, Ryan",0:07,No,0:10,1:08,0:37,0:03,0:05,1:39,0:03,0:12,No,No
203,"Barksdale, Lance","Little, Will",0:14,No,0:12,1:21,0:38,0:02,0:07,2:30,0:07,0:08,No,No
204,"Nelson, Jeff","Segal, Chris",1:23,No,0:19,2:22,1:41,0:03,0:06,3:15,0:13,0:02,No,No
205,"Nelson, Jeff","Bucknor, CB",0:01,No,0:16,0:35,0:11,0:04,0:14,2:09,0:09,0:06,Yes,No
206,"Nelson, Jeff","Bucknor, CB",0:01,No,N/A,0:35,0:11,0:04,0:14,N/A,N/A,N/A,Yes,No
207,"Nelson, Jeff","May, Ben",0:59,No,0:25,2:01,1:30,0:04,0:07,4:06,0:04,0:11,No,No
208,"Diaz, Laz","Fletcher, Andy",0:53,No,0:12,1:42,1:11,0:03,0:05,2:25,0:05,0:10,No,No
209,"Emmel, Paul","Fairchild, Chad",0:53,No,0:16,1:44,1:16,0:03,0:05,2:31,0:10,0:05,No,No
210,"Emmel, Paul","Lentz, Nic",0:27,No,0:05,1:26,0:46,0:02,0:05,1:50,0:03,0:12,No,No
211,"Hudson, Marvin","Wendelstedt, Hunter",0:59,No,0:20,1:59,1:20,0:02,0:05,2:41,0:15,0:00,No,No
212,"Johnson, Adrian","Valentine, Junior",0:11,No,0:18,1:25,0:38,0:02,0:05,2:15,0:14,0:01,No,No
213,"Emmel, Paul","Jimenez, Emil",0:13,No,0:12,1:12,0:35,0:03,0:06,2:00,0:07,0:08,No,No
